Ground Truth
(-0.00018963528581429528, 2.8459086280330543e-05, 1.4213222310014686)
(-0.00018290268358516886, 1.963413682195776e-05, 1.4213274145898402)
(-0.00016828787817947587, 3.739310821625545e-05, 1.4213310389449503)
(-0.00015725972032836857, 4.267131862527052e-05, 1.4213200252903708)
(-0.0001506364808144353, 5.6786436052426265e-05, 1.4213277214889526)
(-0.00011997078381028112, 4.754015652479276e-05, 1.4213533612788878)
(-0.00011363442377987843, 6.360094971305275e-05, 1.4213543062020908)
(-0.00010280113215223618, 7.722433029851509e-05, 1.4213579209339398)
(-0.00010206479088190122, 6.912377077878793e-05, 1.4213591780019694)
(-8.635779545281711e-05, 3.544994468304534e-05, 1.4213363744717915)
(-7.916959806761223e-05, 4.3613313823677905e-05, 1.4213428145353717)
(-7.410683262274855e-05, 6.724354671430315e-05, 1.4213588664121763)
(-9.691731687604811e-05, 4.7703623722439766e-05, 1.4213469085802026)
(-0.00012036802311938947, 4.5138767440172975e-05, 1.4213274093888042)
(-0.00014149493564911256, 4.236768070244466e-05, 1.4213255192210972)
(-0.00014189357297027691, 5.437719216105381e-05, 1.4213195453446945)
(-0.00013911676334152885, 8.515601908854179e-05, 1.421334171958751)
(-0.00013911028782168542, 7.281026737589795e-05, 1.421344083798403)
(-0.00011126388753242294, 7.72079288742658e-05, 1.421369089597337)
(-0.00012346128510747837, 7.054702932101019e-05, 1.4213440834118145)
(-0.0001122051374081588, 9.110992978838565e-05, 1.4213643729107943)
(-8.920603711724878e-05, 0.00011206668791554429, 1.4213760085300842)
(-9.701702773254045e-05, 0.00013677083187576945, 1.4213476982594242)
(-9.771884426358813e-05, 0.00013241216218507182, 1.4213484881038687)
(-8.730877624728207e-05, 8.77014495688639e-05, 1.421336373805533)
(-8.511108594194046e-05, 8.609560100578608e-05, 1.4213385763531676)
(-0.00010279536194375667, 8.830672891400842e-05, 1.4213107334099968)
(-0.00010030628503048229, 8.656189098479479e-05, 1.421326462420768)
(-0.00010000140805994694, 0.00011446920217781697, 1.4213211233332739)
(-0.00011188777124685327, 0.00012083014170303858, 1.421318597844717)
(-0.00010462953922726229, 0.00010947888899539122, 1.4213153056382277)
(-0.00010537724373541037, 9.330182192463317e-05, 1.4213510017616717)
(-0.00010870673387282452, 7.663519516091679e-05, 1.421346285529964)
(-0.00010331978609983278, 8.986525506538875e-05, 1.4213679880618437)
(-0.00014326715539262572, 4.8522264332047814e-05, 1.4213574559801203)
(-0.00014909647216955938, 4.2476221392006e-05, 1.4213462880971088)
(-0.0001533176259417677, 4.5911875269547895e-05, 1.4213333841870728)
(-0.0001482202151732754, 3.370213186611349e-05, 1.4213197023773898)
(-0.0001436472758948926, 3.595133504359681e-05, 1.4213300919837824)
(-0.00015062292939750334, 3.0970189507231e-05, 1.4213214381967367)
(-0.00014808742788755466, 3.339513836621149e-05, 1.421297688825391)
(-0.00014823560222898495, 3.0156955832650416e-05, 1.4212920271079064)
(-0.0001303342386214253, 4.537597411277927e-06, 1.4213178118843253)
(-0.00011562346926569792, -1.3610632305180637e-05, 1.4213266338097963)
(-0.00011418077355374257, -1.2030368074772028e-05, 1.4213132627899512)
(-9.612857683114737e-05, 1.1543995165212402e-05, 1.4213118364298338)
(-0.00011411191610087167, -1.785191320652428e-05, 1.4213011493410146)
(-0.00012771211540651243, -4.496683195869231e-05, 1.4212753567697018)
(-0.00012377979482834924, -1.4271986032442705e-05, 1.4212884017504135)
(-0.00012949433524209682, 8.790501631227538e-08, 1.421306176852231)
(-0.00011266515659636667, -6.681093329489811e-06, 1.421298934462853)
(-9.122079388331694e-05, -2.4951401512501177e-05, 1.4213014597082756)
(-9.101902048647207e-05, -4.374676587007941e-05, 1.4213228517982242)
(-0.00011745140912886587, -3.858871467848214e-05, 1.421334488689903)
(-0.00012442756009959377, -1.7523823187136916e-05, 1.421318602893858)
(-0.00012385524791022956, -5.657865791350728e-06, 1.421331494324899)
(-9.073650850496595e-05, 1.3566958127945914e-06, 1.4213472213241072)
(-9.094468575386292e-05, -1.2980935412359415e-05, 1.4213478562906865)
(-9.4188873938371e-05, -1.2180295810069845e-05, 1.4213245740321134)
(-0.00011628474863687078, -5.065541034949142e-06, 1.4213171889443164)
(-0.00010501069524589446, -3.225800386482053e-05, 1.4213121622620957)
(-0.00012159661493574274, -5.1864065478329786e-05, 1.4213035106728478)
(-0.0001273775153740013, -6.0717207214793265e-05, 1.421284479419081)
(-0.0001336067717440497, -3.177013972379895e-05, 1.4213223754829654)
(-0.00013691086678710532, -4.5992543621528445e-05, 1.421337639096439)
(-0.00012055499908041811, -3.475912930804096e-05, 1.4213467583226749)
(-0.00011875973346590218, -2.0579222211523715e-05, 1.4213503723286987)
(-0.00014857965211715452, -1.7427047209627505e-05, 1.4213310415716027)
(-0.0001518695070773469, -1.2671849208176541e-05, 1.421339684371201)
(-0.00017258026195417415, -1.975004794389592e-06, 1.4213447129868944)
(-0.0001876425451489551, 7.014890414040514e-06, 1.421339051463883)
(-0.0001775723710725135, 4.2952319193742846e-05, 1.4213539987172743)
(-0.00018630643653252428, 2.3090476243012868e-05, 1.4213362247394394)
(-0.0001954397947642367, -4.474283671646947e-06, 1.4213061825973334)
(-0.00020471221602394522, -1.1296539586205178e-05, 1.4213028804953916)
(-0.0002027462848319965, -2.8947626026667485e-05, 1.4212926712383314)
(-0.00018862563264600637, -1.2799239150431735e-05, 1.421287473075598)
(-0.0001853765858866467, -1.797893084339183e-05, 1.4212891971847386)
(-0.00017574517639781825, -3.3972772462012025e-05, 1.4212674959489973)
(-0.00019077516694417465, -3.454396323110513e-05, 1.421301313279268)
(-0.00017891532834767647, -3.1594226008575234e-05, 1.4213266406587712)
(-0.00016573366189721197, -2.609268892407219e-05, 1.4213514779163716)
(-0.00019166840636217282, -3.6927007372006158e-06, 1.4213466061037163)
(-0.00017085623493881267, -1.1817324775863706e-05, 1.4213390516662225)
(-0.000148564748684742, 1.2433684368757398e-05, 1.4213344872163407)
(-0.00016341566338061474, 2.0079579983841612e-05, 1.421326946072033)
(-0.0001569860677563523, 1.9321576050419337e-05, 1.4213337089626132)
(-0.0001682823952639298, 2.0500323989669508e-05, 1.421303508579175)
(-0.0001666229911428806, 2.686032970761626e-05, 1.421297056154907)
(-0.00014560177291387952, 3.2269664326359045e-05, 1.4212872989322365)
(-0.0001385792636301805, 6.465636505924583e-05, 1.4212556957087026)
(-0.00015056054505020383, 6.092002630730571e-05, 1.421282425743752)
(-0.00016711168333442312, 5.731259271733183e-05, 1.4212846292224663)
(-0.00014989248315718933, 6.226485550277277e-05, 1.4212948506965544)
(-0.0001329895146931833, 4.565440820010072e-05, 1.421282748574835)
(-0.00014002795195955348, 2.2153258588953696e-05, 1.4213304039025652)
(-0.0001442465830950745, -3.2936573406009366e-06, 1.421369406089035)
(-0.00015901254990434983, -4.0096363371504685e-07, 1.421366570139001)
(-0.00017724493436507748, 1.2602691227671934e-06, 1.421371455268148)
(-0.00020463914442509678, -3.6692085477241476e-05, 1.4213551100014172)
(-0.00020282842644250975, -4.937705093823498e-05, 1.4213406390514451)
(-0.00022020962331953246, -5.610715284042731e-05, 1.4213227105607964)
(-0.0002029961571231261, -1.2649913596987093e-05, 1.421335918347613)
(-0.0001597986662829957, 2.2120922153629642e-05, 1.4213363785144333)
(-0.00016535909741930392, 2.439789927408579e-05, 1.4213412508437677)
(-0.00017111971080878915, 1.227722073550067e-05, 1.4213571486810324)
(-0.00016189220402767818, 7.453495702183439e-07, 1.4213842025460877)
(-0.00016086251680493048, -9.10701514096339e-06, 1.4213816777570543)
(-0.0001698400200830587, -1.1341340215043302e-05, 1.4214095226923256)
(-0.000137984660467542, -3.6078535941313755e-06, 1.4214049470315617)
(-0.0001240813597035487, 2.291955573673592e-07, 1.4214156476342632)
